=== VALUE ITERATION ===
Value Iteration converged.
Utility Table:
100.00 100.00 100.00 100.00 100.00    W      W      W      W      W    99.99  99.99  99.99  99.96  99.76  99.17  97.55  95.96  94.44  93.15  93.07  94.40  95.95  97.54  99.17  99.76  99.96  99.99  99.99  99.99
100.00 100.00 100.00 100.00 100.00    W      W      W      W      W    99.99  99.99  99.99  99.96  99.76  99.17  97.55  96.00  94.62  93.78  93.21  94.41  95.94  97.53  99.16  99.75  99.96  99.98  99.99  99.99
↑  ↑  ↑  ↑  ↑  ←  ←  ←  →  →  ↑  →  →  →  →  →  ↑  ↑  ↑  ↑  W  W  W  W  W  ↓  ↓  ↓  ↓  ↓
↑  ↑  ↑  ↑  ↑  ←  ←  ←  →  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  ↑  ←  ←  ←  ←  ←  ←  ↓
↑  ↑  ↑  ↑  ↑  ←  ←  ←  ↑  ↑  ↑  ↑  ↑  ↑  →  ↑  ↑  ↑  ↑  →  →  →  ↑  ←  ←  ←  ←  ←  ↓  ↓
↑  ↑  ↑  ↑  ↑  ↑  ←  ↑  ↑  ↑  ↑  ↑  ↑  →  →  ↑  ↑  ↑  →  →  →  →  ↑  ←  ←  ←  ←  ↓  ↓  ↓
↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  →  ↑  ↑  →  →  →  →  ↑  ↑  ↑  ←  ←  ↓  ↓  ↓  ↓
↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  →  →  ↑  →  →  →  →  ↑  ↑  ↑  ↑  ↑  ↓  ↓  ↓  ↓  ↓
↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  →  →  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  ↓  ↓  ↓  ↓
↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  →  ↑  ↑  ↑  ↑  ↑  ↑  →  ↑  ↑  ↑  →  →  →  →  ↓  ↓  ↓
↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  →  ↑  ↑  ↑  ↑  →  →  →  ↑  ↑  →  →  →  →  →  →  →  →
↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  ↑  ↑  ↑  ↑  →  →  →  →  ↑  →  →  →  →  →  →  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  →  →  ↑  ↑  ↑  →  →  →  →  →  →  →  →  →  →  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  ↑  ↑  ↑  ↑  →  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  ↑  ↑  ↑  →  →  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  ↑  →  →  →  →  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  W  W  W  W  W  W  W  W  W  W  W  W  W  W  W  ↓  →  →  →  →  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  ←  ←  ←  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  ←  ←  ←  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  ↑  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  ↑  ↑  ↑  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  ↑  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  ↑  ←  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  →  ↑  ↑  ↑  ↑  ↑

saved policy_iteration.png
